M0001|[Promotional Staff]
M3630|- Wanting to stop Rayan from going berserk, you slapped his face with the journal. Rayan staggered and then fell onto the ground. Wah! -
M3631|- By your sudden violent move, the Bloody Crystal of Darkness flew out of your jacket, and rolled on the ground toward Rayan. -
M3632|Ahh....
M3633|....? Isn't.. Isn't this?!....
M3634|Wah! What's going on?
M3635|Why is it suddenly..?!
M3636|Is this a time-space phenomenon?!
M3637|Why..? There's no gap here..?
M3638|Haha.. Muhahaha!
M3639|Muhahahahaha!!
M3640|He's come.. My master has arrived!!
M3641|As you command, master. I'm here to serve you!
M3642|[Voice from Rayan]
M3643|^FF0000You insignificant humans!
M3644|I'll be back at full strength,
M3645|and I'll pay you back for locking me in the darkness for hundreds of years!^000000
M3646|What... What just happened?
M3647|Are you Rayan? Or are you someone else now?!
M3648|You're too late. My master has already departed!
M3649|I'm his loyal servant.
M3650|You're too foolish to understand his great will.
M3651|Haha... Muhahaha!
M3652|He's calling me!
M3653|He needs me now!
M3654|You're Rin, right?
M3655|This is the last time you'll ever see me.
M3656|Haha... Muhahahahaha!!
M3657|....Huh...?
M3658|...I don't know...
M3659|...I think he's gone...?
M3660|I'm kind of busy right now.
M3661|..I've brought back the journal and something else..
M3662|..Er, sorry. I forgot to bring the journal! I'll be right back.
M3663|What should we do now?
M3664|You know, that voice.. Do you think it was Satan Morocc...?
M3665|..Maybe.
M3666|B.ased on what the more normal Rayan has told us,
M3667|it seems that another personality within him was forcibly created by Satan Morocc.
M3668|Satan Morocc must have chosen Rayan to break his seal.
M3669|He's been controlling Rayan from deep inside his mind..
M3670|And... That Mad Rayan seems to have a connection with your Bloody Crystal of Darkness.
M3671|I didn't see that side of Rayan until you came; he was very cooperative and feeble up until then.
M3672|The original Rayan seemed to remember everything that happened while he was controlled by that mad personality..
M3673|He was in shock after learning that he's killed all his comrades with his own hand.
M3674|He started acting differently once you approached him. I must record all of this in the journal.
M3675|Right. He completely changed once he touched the crystal, as if he himself became Satan Morocc.
M3676|..Damn it.
M3677|Don't worry.
M3678|I've marked Rayan's body in case he ran away.
M3679|We can trace him down.
M3680|I'll give you the pattern number of his magic wavelength. Can you give the number to Echinacea?
M3681|She'll take care of the rest.
M3682|The pattern number is...
M3683|^4d4dff["+.@pattern$+"]^000000
M3684|Don't leave out even one character. Okay?
M3685|Here, bring this journal with you.
M3686|Please don't forget the pattern number. Alright? Make sure that Echinacea gets it.
M3687|Report to Echinacea in the Ash Vacuum, and give her the pattern number.
M3688|The pattern number is ^4d4dff[SDHF92F-SDF]^000000. Don't leave out even one character. Okay?
M3689|The pattern number is ^4d4dff[VWNM94GVWN90]^000000. Don't leave out even one character. Okay?
M3690|The pattern number is ^4d4dff[CM3-TRDFGHE0]^000000. Don't leave out even one character. Okay?
M3691|Ouch, my head...
M3692|Yes? Why are you back again?
M3693|What...you forgot the pattern number?
M3694|Sigh...Oh well.
M3695|Make sure you don't forget it again. The pattern number is...
M3696|^4d4dff["+.@pattern$+"]^000000. Don't leave out even one character. Okay?
M3697|Got it?
M3698|Sigh. Get going, then...
M3699|I need to take a break...
M3700|Ahhh~ I'm a sick person. I need to rest!
M3701|I don't want to do anything else~
M3702|Hurry up and go, don't bother me~
M3703|- For some reason, Rayan is shivering in fear. -
M3704|He's not being himself for some reason.
M3705|I'm just glad that he's sane enough to speak to me.
M3706|I don't know what's going on with him.
M3707|You have found a pile of dirt and deep tracks under thick bushes.
M3708|There are deep footprints and spilled blood around the area.
M3709|Some desperate fighting definitely happened here.
M3710|There are some broken branches to the side of a set of footprints that look like they're skidding backwards...
M3711|Somebody must have been fallen down on the ground, or...
M3712|I've been having a strange feeling around this area...
M3713|It feels like faint mana.. ?!... Yes, I can barely see an aura.
M3714|...What is this?
M3715|Hmm.. This place must be where Rin fought with Rayan's gang.
M3716|I don't see anything that looks important.
M3717|As you took a careful look,
M3718|you notice something shining in the ground.
M3719|^4d4dffYou have found a 'Bloody Crystal of Darkness'.^000000
M3720|I don't think I'll find anything else here...
M3721|I should go back now.
M3722|I hope Rin will understand.
M3723|There are traces of a battle here, including spilled blood.
M3724|There's also a pile of dirt that seems out of place.
M3725|There are traces of a battle here, and spilled blood.
M3726|You find many footprints on the ground.
M3727|Considering all the blood on the ground, a battle must have occurred here fairly recently.
M3728|The footprints continue over the hill.
M3729|You found some footprints.
M3730|Somebody left a mark under this small tree.
M3731|The mark is weathered and faded,
M3732|but it is an arrow pointing southwest.
M3733|There's some scribbling on the tree,
M3734|but you can't decipher what it means.
M3735|A mysterious force is repelling you, and you're unable to push forward into this area.
M3736|As soon as you touched the crystal,
M3737|you feel your body being pulled into the space gap.
M3738|You remember Kidd's confused voice, screaming your name.
M3739|By the way, where am I?
M3740|Argh.. My head hurts...
M3741|.. ? Wh... What's going on?
M3742|I can't see things.. I'm getting dizzy...
M3743|Huh? Are they fighting?
M3744|I can hear a crowd of people coming...
M3745|Argh! It's too dark to see...!
M3746|[Familiar Female Voice]
M3747|Shut up! It's creepy that you all look alike. Bring it on! I'm not afraid of you!
M3748|I'm not going to let you run away again!
M3749|Rin!!!!
M3750|Why? Why is Rin here? Wait, where am I?
M3751|Argh.. I can't move at all...
M3752|You're not alone. So what?
M3753|You're still coming with me!
M3754|Hah, how impressive! You run like a rabbit!
M3755|I should have you killed you when I had the chance.
M3756|I didn't expect you to be so persistent...
M3757|That's what I wanted to say!
M3758|You played me like a chess piece,
M3759|and now I want to tear you apart in five pieces. Why don't you just shut up and surrender before I kill you?
M3760|Hah.. You still have no idea, huh? You already lost this game, lady.
M3761|I'm sorry that I have to do this.
M3762|Kill her.
M3763|Rin-!!!
M3764|You feel helpless: you can do nothing but watch her slowly get overpowered..
M3765|Then, the pressure on your body suddenly dissipates.
M3766|You have found a laceration on the dead body;
M3767|he must have been killed by Rin.
M3768|It's creepy to touch a corpse, but you have decided to check his pockets for any clues.
M3769|It's creepy to touch a corpse, but you have decided to shake and turn the body
M3770|to find any possible clues
M3771|A scroll flew out of the body's jacket pocket.
M3772|You're not sure what this scroll is for, but obviously it seems pretty important.
M3773|^4d4dffYou have obtained a Sealed Magic Scroll.
M3774|Let's bring this to Kidd.^000000
M3775|You have found a Dandelion Member who was killed by Rin.
M3776|It's just a corpse, but there seems to be something unnatural about it.
M3777|Now's not the time to examine corpses.
M3778|You better take care of your living enemies first!
M3779|- You find a side door that leads to the basement.
M3780|A faint light is shining through the hinges.
M3781|There are people inside, talking loudly. -
M3782|[Male Voice]
M3783|Hey Rayan, say something.
M3784|We did everything you asked,
M3785|but...
M3786|...This is totally wrong.
M3787|We did something that we shouldn't have.
M3788|Come on, reconsider this.
M3789|Rayan, Rayan!
M3790|All we wanted was just to shake up the town just a little bit,
M3791|not summon Satan Morocc! The ritual failed like we first planned, but...
M3792|[Voices]
M3793|That's right. It failed, but what happened? Satan Morocc resurrected himself.
M3794|He'll bring the end of this world.
M3795|What have we done?!
M3796|We can't even go back to our country now!
M3797|[Anxious Voice]
M3798|...We all knew that we would be disposed after we stopped being useful.. Just like pawns in a chess match.
M3799|But I'm curious.
M3800|Rayan...
M3801|Rayan, say something!
M3802|What the hell's wrong with you?
M3803|Why, can't you still forget the Assassin?
M3804|...Hey, tell us. What should we do now?
M3805|Let me ask you one question.
M3806|...Did you... Did you really summon Satan Morocc?
M3807|Did you?
M3808|Did you really ask us to help you resurrect Satan Morocc?!
M3809|If your silence means yes, I'm out!
M3810|I didn't know then, but I know now. I'm leaving!
M3811|Incompetent weaklings.
M3812|I don't need you anymore.
M3813|Thank you for following my lead so far.
M3814|But you're nothing but puppets of the goddess.. *Giggle Giggle*
M3815|Hey, hey! What are you doing?!
M3816|Why are you doing this?!
M3817|- You hear loud thuds and thumping in the midst of their yelling and screaming.
M3818|It sounds like they're having a serious dispute.-
M3819|...Rayan? ...Morocc? ...Resurrect...?
M3820|I have no idea what they're talking about. Why are they fighting?
M3821|You ignorant puppets..
M3822|You're too stupid to understand my master's great will...
M3823|...Oh, right. I completely forgot about 'it.' It's time to take it back.
M3824|What do you say? *Giggle Giggle*
M3825|What the?! Does he know I'm here?!
M3826|I'd better run!
M3827|- You used a Butterfly Wing.-
M3828|- The side to the basement is open.
M3829|You can enter if you want. -
